ID,User ID,Title,Description,Solution,Created At,Resolved By,Solution Satisfaction,Ticket Status,Ticket Priority,Tags List,Resolution Time
7aaef40c060d2e8be8e5e23e3f7ea0a9,23463b99b62a72f26ed677cc556c44e8,TicketTest1,This a test ticket,,2024-03-13 21:50:48,0,False,Open,0.75,a,
56f6e8e7108049e8f04a98d90b08bdd5,b8aeec8b91548b073d2b7e42f9d1328d,student created ticket 1,student created ticket 1 for testing purpose,,2024-03-31 08:00:25,0,False,Open,0.5,support urgent help,
74b4a951bb69d9b2180187132a721747,b8aeec8b91548b073d2b7e42f9d1328d,student created ticket 2,student created ticket 2 for testing purpose,,2024-03-31 08:01:42,0,False,Open,0.75,support urgent help livesession,
dacd75ddfa697ba4646197e9a195a823,b8aeec8b91548b073d2b7e42f9d1328d,student created ticket 3,student created ticket 3 for testing purpose,,2024-03-31 08:01:59,0,False,Open,0.15,livesession,
c9ec3fb572a0fe7000d0cebe496f80ff,b8aeec8b91548b073d2b7e42f9d1328d,student created ticket deleted,student created ticket 4 for deleting purpose,,2024-03-31 08:12:32,0,False,Open,0.15,delete,
a3cbe208e78044ca4d17baf7bfab5358,b8aeec8b91548b073d2b7e42f9d1328d,i am creating a ticket as a student,i am working on this ticket for very long time,,2024-04-01 20:05:30,0,False,Open,0.15,"ST Course, Live Session, Graded Assignment",
c080fd3e616fbcacf4c9e9cf3a274c36,b8aeec8b91548b073d2b7e42f9d1328d,this test webhook ,i am going to test webhook message,,2024-04-02 17:26:29,0,False,Open,0.75,"SE Course, Practice Assignment, Subject",
d7a82a59bf3b4f8f4050c02a4d2d7397,b8aeec8b91548b073d2b7e42f9d1328d,i am creating a ticket to test webhook,this is to test webhook,,2024-04-02 17:28:35,0,False,Open,0.75,"Subject, Live Session",
ee5e08aa093ed21751a2151f9d105380,b8aeec8b91548b073d2b7e42f9d1328d,this test webhook ,test webhook,,2024-04-02 17:33:57,0,False,Open,0.75,"Practice Assignment, Subject",
f0c01856dbbb988b71b241fc34effb04,b8aeec8b91548b073d2b7e42f9d1328d,i am creating a ticket as a student webhookk,webhokkkkkk,let me resolve this ticket.,2024-04-02 17:39:43,935619db4e7697ff1f163e8f40ad71fd,False,Resolved,0.75,"SE Course, OPPE",
b2dc6464a4c6658347b50c60309005fe,b8aeec8b91548b073d2b7e42f9d1328d,a new ticket to test webhook,i gave successfully tested webhook,i need better questions,2024-04-02 17:42:17,935619db4e7697ff1f163e8f40ad71fd,False,Resolved,0.75,"SE Course, OPPE",
61dbb491ddbee16518891d109f9767a9,b8aeec8b91548b073d2b7e42f9d1328d,notification test,i want to test notification ,iu,2024-04-02 17:45:34,935619db4e7697ff1f163e8f40ad71fd,False,Resolved,0.75,"Practice Assignment, Subject",
